Subj ID,Session,Run,Target,TR Condition,Word Class,Accuracy,RT,WordFreq,WordFreq,,RT-Rev,Actual response
TPL,1,2,Leg,CORR,OBJ,1,1.338202,2882,58,,1.338202,
TPL,1,2,Shoe,CORR,OBJ,1,0.706637,1550,14,,0.706637,
TPL,1,2,Chair,CORR,OBJ,1,1.050311,2511,66,,1.050311,
TPL,1,2,(pass),(control),(control),NA,1.096025,NA,NA,,1.096025,
TPL,1,2,(pass),(control),(control),NA,0.737295,NA,NA,,0.737295,
TPL,1,2,(pass),(control),(control),NA,0.721059,NA,NA,,0.721059,
TPL,1,2,(pass),(control),(control),NA,0.809313,NA,NA,,0.809313,
TPL,1,2,(pass),(control),(control),NA,0.973032,NA,NA,,0.973032,
TPL,1,2,pinching,TR,ACT,1,1.088406,57,11,,1.088406,
TPL,1,2,stroking,TR,ACT,1,0.9909,37,5,,0.9909,
TPL,1,2,pointing,TR,ACT,1,0.667,425,143,,0.667,
TPL,1,2,folding,TR,ACT,1,0.819109,106,20,,0.819109,
TPL,1,2,reading,TR,ACT,1,0.715798,3133,274,,0.715798,
TPL,1,2,Mitten,TR,OBJ,1,0.860197,23,0,,0.860197,
TPL,1,2,Broom,TR,OBJ,1,0.838156,243,2,,0.838156,
TPL,1,2,Barrel,TR,OBJ,1,0.839336,542,24,,0.839336,
TPL,1,2,Thimble,TR,OBJ,1,1.090129,14,1,,1.090129,
TPL,1,2,Harp,TR,OBJ,1,0.644324,134,1,,0.644324,
TPL,1,2,begging,UNTR,ACT,1,1.107998,766,34,,1.107998,
TPL,1,2,tickling,UNTR,ACT,1,2.24115,51,2,,2.24115,
TPL,1,2,pulling,UNTR,ACT,1,0.953621,1384,145,,0.953621,
TPL,1,2,waving,UNTR,ACT,1,1.01285,266,30,,1.01285,
TPL,1,2,opening,UNTR,ACT,1,1.524868,1960,259,,1.524868,
TPL,1,2,(pass),(control),(control),NA,1.286138,NA,NA,,1.286138,
TPL,1,2,(pass),(control),(control),NA,0.753259,NA,NA,,0.753259,
TPL,1,2,(pass),(control),(control),NA,0.760243,NA,NA,,0.760243,
TPL,1,2,(pass),(control),(control),NA,0.622102,NA,NA,,0.622102,
TPL,1,2,(pass),(control),(control),NA,0.600061,NA,NA,,0.600061,
TPL,1,2,Key,CORR,OBJ,1,0.912805,4430,88,,0.912805,
TPL,1,2,Foot,CORR,OBJ,1,0.577295,3311,70,,0.577295,
TPL,1,2,Glass,CORR,OBJ,1,0.746819,3096,99,,0.746819,
TPL,1,2,Arm,CORR,OBJ,1,0.864098,3336,94,,0.864098,
TPL,1,2,Thumb,CORR,OBJ,1,0.801422,603,10,,0.801422,
TPL,1,2,crying,CORR,ACT,1,1.5031,2709,64,,1.5031,
TPL,1,2,sitting,CORR,ACT,1,0.95861,4814,314,,0.95861,
TPL,1,2,washing,CORR,ACT,1,0.942374,462,83,,0.942374,
TPL,1,2,laughing,CORR,ACT,1,0.734574,2667,89,,0.734574,
TPL,1,2,raining,CORR,ACT,1,0.956342,499,14,,0.956342,
TPL,1,2,Necklace,UNTR,OBJ,1,1.013667,497,3,,1.013667,
TPL,1,2,Stool,UNTR,OBJ,1,0.614302,179,8,,0.614302,
TPL,1,2,Well,UNTR,OBJ,1,1.364324,95,897,,1.364324,
TPL,1,2,Clothespin,UNTR,OBJ,1,0.970764,15,0,,0.970764,
TPL,1,2,Flute,UNTR,OBJ,0,1.703372,108,1,,NA,clarinet
TPL,1,2,(pass),(control),(control),NA,0.953803,NA,NA,,0.953803,
TPL,1,2,(pass),(control),(control),NA,0.653122,NA,NA,,0.653122,
TPL,1,2,(pass),(control),(control),NA,0.718156,NA,NA,,0.718156,
TPL,1,2,(pass),(control),(control),NA,0.725141,NA,NA,,0.725141,
TPL,1,2,(pass),(control),(control),NA,0.941104,NA,NA,,0.941104,
TPL,1,2,smiling,CORR,ACT,1,0.986819,877,122,,0.986819,
TPL,1,2,eating,CORR,ACT,1,0.697748,3102,122,,0.697748,
TPL,1,2,typing,CORR,ACT,1,0.687317,165,12,,0.687317,
TPL,1,2,drinking,CORR,ACT,1,0.740741,2685,93,,0.740741,
TPL,1,2,yawning,CORR,ACT,1,0.96251,48,3,,0.96251,
TPL,1,2,Car,CORR,OBJ,1,0.950175,24636,274,,0.950175,
TPL,1,2,Tree,CORR,OBJ,1,0.695934,3315,59,,0.695934,
TPL,1,2,Ear,CORR,OBJ,1,0.836433,1632,29,,0.836433,
TPL,1,2,Dog,CORR,OBJ,1,0.767952,9835,75,,0.767952,
TPL,1,2,Nose,CORR,OBJ,1,0.821376,3557,60,,0.821376,
TPL,1,2,drawing,TR,ACT,1,1.151535,817,222,,1.151535,
TPL,1,2,painting,TR,ACT,1,0.99598,1489,95,,0.99598,
